# tid	english
# merc=Merc_CarolThompson
672997896344	The target is locked and I'm ready to engage.
674985085396	Roger that.
675855761159	Enemy down, and the judges give my performance a solid 10 out of 10.
676815972072	Ceasefire for now, but we're not in the clear until we confirm all threats are down.
682810513493	The target is in a position where I can't achieve a clear sight.
683709936802	Time for a breather, but remember that quiet doesn't necessarily mean safe.
685054750339	I'm getting pinned down here.
688167194248	Your orders?
689372239395	I am pretty sure that I cannot make that shot.
693696217778	Hostile forces are attacking.
693958001546	...
694224268511	This target is almost impossible to hit from here.
698648397922	I found something.
698791553724	What's up?
699588986989	In overwatch mode, watching for any signs of movement or threat.
705007585495	Ready.
707573254401	Yes immediately.
711717669491	Sorry, but we need to talk about our contract. It is approaching its conclusion soon. Tell me, would you be interested in renewing it?
714552741173	They say quality over quantity, but they didn't mention the numbers game...
715268431766	We're on the way.
716333902434	Looks like the bad guys just decided to take their coffee break, we've got the place to ourselves - for now.
720211692893	Watch out for that trap.
722096558608	What's that?
725497523795	My weapon is having a jam session - but hey, not the musical kind of thing.
729108383930	My wounds are healing.
735496874132	I understand.
738386555950	Mission accepted.
740455921748	I will run out of ammo soon, but I've got a mean glare left for them.
742687114110	Okay.
743392192882	This area's clear, there are no more hostile forces around.
745542214463	No further enemy contacts detected, it's safe here - for now.
746128694557	Ladies and gentlemen, say hello to our newest adversary: the attack animal.
754335894453	These are the moments when I wish I were back in a tank again.
765028851206	Savvy Gearhead
767179220578	Friendly tip: next time, consider using glasses, or a bigger gun.
767219478887	I heard bullet holes are the latest fashion trend, so I thought I'd get ahead of the curve.
771878404268	The last time I had such a multitude of potential targets was at the military training area in Imber Village. The only real difference was that I was inside a tank at that time.
783524359878	Guess my equipment is embracing the 'shabby chic' trend.
788280192347	I need to move out of that poisonous area immediately.
792286379801	And there goes the enemy, walking the plank into the ocean of defeat.
808934242004	You're talking to Carol Thompson. Tell me, what can I do for you?
813818008991	Carol Thompson is a determined British figure whose remarkable journey began on the oil-stained floors of her father's auto shop in a gritty London suburb. Following her apprenticeship, she departed her hometown and enlisted in the British army, serving four years in a squadron of the Royal Tank Regiment. After completing her service, her path eventually led her to private contract work, and she joined AIM. Renowned as the 'Savvy Gearhead', she is available for hire whenever a mission demands mechanical expertise on the battlefield.
814301384362	Ok fine. I will accept your conditions.
815570142241	Carefully.
820889712209	Pushing forward.
829548026499	Where is the tank when you need one?
831869799808	I'm not sure if it is wise to give away my current position with such a low chance shot.
841328355865	I have a good sight on that target.
847955097175	Failed that one, but on the bright side, I've got another great story for the kids of my sister.
855635751997	I should watch out for their line of fire.
856400716664	Task acknowledged - and I promise to make it look way cooler than it actually is.
866759945375	Medic!
870632740058	I'm set to neutralize the target with precision.
873520553876	No more bullets left, but my supply of witty comebacks is endless.
875498298007	I reached the target sector.
880867711562	I'm getting better at this.
887686902694	Yes. I wanted to give the enemy a head start - consider it a friendly gesture.
888795602514	carol
893237031180	Mission completed, and I only tripped over my own shoelaces twice!
895517792223	Grenade!
906007480229	Seems like nature's joining the party.
906669984760	My injuries are getting better.
906893225153	I'm encountering some visibility issues and a shot from here might compromise my position.
912871219047	We've got company.
914784085906	You know the saying: Close only counts in horseshoes and hand grenades, right?
922939075700	Enemy detected.
924795938619	Oh Bobby, your bullet just made the target's day by missing it entirely.
943445652391	Hey! Thanks for calling me again. What can I do for you today?
946837100677	Trap detected.
951366115009	...
953678736530	Mission not so successful. Who knew the enemy was immune to my charm?
958659818004	For god sake! I did not expect to add 'being hit' to my resume of survival skills.
967242242340	Yes?
973793368832	Who needs accuracy when you can offer the enemy a thrill with a near-miss?
993200741482	<placeholder>
994863255469	Bobby, from over here it looks like your bullets and the target are playing an intense game of tag.
995965758786	Taking cover.
999137065414	Hey! You have reached Carol Thompson. I am sorry, but at the moment I'm not available. If you leave me your contact details I will call you back as soon as possible. Thanks!
