ID,Kind,Text,ReferenceText,Locations
742416202176,dormant-vs-active,"<em>Attacks</em> the <em>closest</em> enemy with a firearm when <em>combat starts</em>, if possible.

Can't be used with Heavy Weapons.","<em>Attacks</em> the <em>closest</em> enemy with a firearm when <em>combat starts</em>, if possible.
Can't be used with Heavy Weapons.",jazz:.tmp/ame_spec_commit/jazz_items.lua:70973 | jazz:.tmp/wip-stash/items.lua:71078
755003574664,dormant-vs-active,"Вариант винтовки SIG 500 в современном кастомном обвесе, позволяющем установить дополнительные приспособления. Стильно, модно, молодежно. Даже завидно.","Вариант винтовки SIG 550 в современном кастомном обвесе, позволяющем установить дополнительные приспособления. Стильно, модно, молодежно. Даже завидно.",jazz:.tmp/ame_spec_commit/jazz_items.lua:24544 | jazz:.tmp/wip-stash/items.lua:24645
777309152047,dormant-vs-active,"A woman whose skills extend far beyond just firearms and medicine, Monica's resumé reads like she's applying for a lifetime achievement award. She recently produced a series of instructional videos called ""Be Better"" where she teaches the viewer the best ways to home school, perform CPR, shoot automatic weapons, maintain cardiovascular health and lift yourself out of depression through rigorous self-improvement. 

Although many wonder what she could possibly want from the mercenary life, most fellow A.I.M. members appreciate her expertise and thorough - if priggish - tutoring style.","A woman whose skills extend far beyond just firearms and medicine, Monica's resumé reads like she's applying for a lifetime achievement award. She recently produced a series of instructional videos called ""Be Better"" where she teaches the viewer the best ways to home school, perform CPR, shoot automatic weapons, maintain cardiovascular health and lift yourself out of depression through rigorous self-improvement. 
Although many wonder what she could possibly want from the mercenary life, most fellow A.I.M. members appreciate her expertise and thorough - if priggish - tutoring style.",jazz:.tmp/ame_spec_commit/units_items.lua:140192
834156151134,dormant-vs-active,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Используются для операции «Лечение ран» в виде со спутника
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Используются для восполнения аптечек и наборов первой помощи","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Нужны для лечения ран на стратегической карте
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Расходуются в медицинских операциях и при крафте",jazz:.tmp/ame_spec_commit/jazz_items.lua:53110 | jazz:.tmp/wip-stash/items.lua:53211
890000000000075,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Переход на новую позицию, в процессе которого выпускается двойная длинная очередь по врагу ",jazz:.tmp/ame_spec_commit/jazz_items.lua:67091 | jazz:.tmp/wip-stash/items.lua:67196
890000000000076,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Переход на новую позицию, в процессе которого вы выпускаете до <em><num_shots> шквалов</em> по ближайшим целям. ",jazz:.tmp/ame_spec_commit/jazz_items.lua:66638 | jazz:.tmp/wip-stash/items.lua:66743
890000000000252,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"Штурмовые винтовки - это универсальное оружие без каких-либо выраженных преимуществ. Они обладают неплохим останавливающим действием, дальностью и бронебойностью, а также поддерживают большое количество разнообразных модулей.",jazz:.tmp/ame_spec_commit/jazz_items.lua:103995 | jazz:.tmp/ame_spec_commit/jazz_items.lua:104003 | jazz:.tmp/wip-stash/items.lua:104138 | jazz:.tmp/wip-stash/items.lua:104146
890000000000488,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"Пулеметы обладают огромной скорострельностью, но точность их отдельных выстрелов оставляет желать лучшего.

Переведя пулемет в боевое положение, вы сможете эффективно прикрывать определенный участок местности. При стрельбе из установленных в боевое положение или стационарных пулеметов имеется ограниченное количество внеочередных атак-прерываний по перемещающимся в секторе обстрела противникам. Число атак-прерываний зависит от числа оставшихся ОД.",jazz:.tmp/ame_spec_commit/jazz_items.lua:104027 | jazz:.tmp/wip-stash/items.lua:104170
890000000000491,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Переход на новую позицию, в процессе которого вы аттакуете до <em><num_shots></em> ближайших целей. ",jazz:.tmp/ame_spec_commit/jazz_items.lua:65218 | jazz:.tmp/wip-stash/items.lua:65323
890000000000492,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Переход на новую позицию, в процессе которого вы выпускаете до <em><num_shots> коротких очередей</em> по ближайшим целям. ",jazz:.tmp/ame_spec_commit/jazz_items.lua:65116 | jazz:.tmp/wip-stash/items.lua:65221
890000000000576,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"Пистолеты и револьверы позволяют с высокой точностью поражать различные части тела противника выстрелами в упор. Однако максимальная дальность и бронебойность этого оружия оставляет желать лучшего.

Особая атака: выстрел в движении",jazz:.tmp/ame_spec_commit/jazz_items.lua:103957 | jazz:.tmp/wip-stash/items.lua:104100
890000000000648,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"Неприцельная стрельба двойной длинной очередью из <color EmStyle><bullets> патронов</color>. 
Увеличен эффект подавления.",jazz:.tmp/ame_spec_commit/jazz_items.lua:67338 | jazz:.tmp/wip-stash/items.lua:67443
890000000000649,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Стрельба длинной очередью из <color EmStyle><bullets> патронов</color>. Точность снижается под влиянием отдачи,jazz:.tmp/ame_spec_commit/jazz_items.lua:64783 | jazz:.tmp/wip-stash/items.lua:64888
890000000000650,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Один раз в ход.</color>.
Стрельба длинной очередью из <color EmStyle><bullets> патронов</color> с увеличенным подавлением, но более низкой точностью. Точность снижается под влиянием отдачи",jazz:.tmp/ame_spec_commit/jazz_items.lua:66519 | jazz:.tmp/wip-stash/items.lua:66624
890000000000866,dormant-vs-active,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ружье-недопулемет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дальнобойный","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Автоматическая винтовка
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Дальнобойный",jazz:.tmp/ame_spec_commit/jazz_items.lua:27716 | jazz:.tmp/wip-stash/items.lua:27817
890000000000892,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Выстрел <color EmStyle><num> патронами</color> по цели. Точность снижается под влиянием отдачи,jazz:.tmp/ame_spec_commit/jazz_items.lua:64493 | jazz:.tmp/wip-stash/items.lua:64598
890000000000893,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Один раз в ход.</color>.
Выстрел <color EmStyle><num> патронами</color> по цели. Точность снижается под влиянием отдачи",jazz:.tmp/ame_spec_commit/jazz_items.lua:66304 | jazz:.tmp/wip-stash/items.lua:66409
890000000000894,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Короткая очередь из  <color EmStyle><num> патрон</color>
Первые два выстрела в очереди без отдачи",jazz:.tmp/ame_spec_commit/jazz_items.lua:67194 | jazz:.tmp/wip-stash/items.lua:67299
890000000001072,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Один раз за ход</color>.
Переход на новую позицию и выстрел по ближайшей цели.",jazz:.tmp/ame_spec_commit/jazz_items.lua:67637 | jazz:.tmp/wip-stash/items.lua:67742
890000000001073,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Переход на новую позицию и два выстрела по ближайшим целям.",jazz:.tmp/ame_spec_commit/jazz_items.lua:65011 | jazz:.tmp/wip-stash/items.lua:65116
890000000001182,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Две длинная очереди с увеличенным подавлением,jazz:.tmp/ame_spec_commit/jazz_items.lua:67742 | jazz:.tmp/wip-stash/items.lua:67847
890000000001183,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Один раз в ход.</color>.
Два быстрых выстрела",jazz:.tmp/ame_spec_commit/jazz_items.lua:66922 | jazz:.tmp/wip-stash/items.lua:67027
890000000001184,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Один раз в ход.</color>.
Два выстрела в тело",jazz:.tmp/ame_spec_commit/jazz_items.lua:67009 | jazz:.tmp/wip-stash/items.lua:67114
890000000001185,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Выстрел в голову с +100% шансом крита
Игнорирует броню ",jazz:.tmp/ame_spec_commit/jazz_items.lua:66430 | jazz:.tmp/wip-stash/items.lua:66535
890000000001186,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Два выстрела в тело, один в голову. ",jazz:.tmp/ame_spec_commit/jazz_items.lua:66739 | jazz:.tmp/wip-stash/items.lua:66844
890000000001187,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"<color EmStyle>Заряжается после убийства другим способом.</color>.
Три коротких очереди Ноги-Пах-Торс",jazz:.tmp/ame_spec_commit/jazz_items.lua:66826 | jazz:.tmp/wip-stash/items.lua:66931
890000000001235,dormant-vs-active,"Количество ОД — не более 4.
Не может контратаковать.","Количество ОД — не более 4.
Не может контратаковать или поддерживать подготовленные атаки.",jazz:.tmp/ame_spec_commit/jazz_items.lua:70763 | jazz:.tmp/wip-stash/items.lua:70868
890000000001240,dormant-vs-active,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Единый пулемет 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача ","<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Ручной пулемёт
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Убойный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Неудобный 
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Сильная отдача ",jazz:.tmp/ame_spec_commit/jazz_items.lua:28559 | jazz:.tmp/wip-stash/items.lua:28660
890000000001324,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,"Разблокирует режим <em>Стрельбы очередями</em> ",jazz:.tmp/ame_spec_commit/jazz_items.lua:33139 | jazz:.tmp/wip-stash/items.lua:33240
890000000001802,dormant-vs-active,[WIP] Билл «Бритва» Ламонт,Билл «Бритва» Ламонт,jazz:.tmp/ame_spec_commit/units_items.lua:118724
890000000001805,dormant-vs-active,work in progress,"Бриллиант среди MERC. Статы 80–90, навыки около нуля — но в ноже «патроны» не кончаются. Псих, обожает резню в ближнем бою и не признаёт огнестрел серьёзным аргументом. Дружит с Фиделем и Нервным (родственные безумцы); не любит Бифа и Фло; презирает местных Арулько.",jazz:.tmp/ame_spec_commit/units_items.lua:118727
890000000001901,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:71707 | jazz:.tmp/wip-stash/items.lua:71812
890000000001902,dormant-vs-active,[WIP] Айра Смит,Айра Смит,jazz:.tmp/ame_spec_commit/units_items.lua:119095
890000000001905,dormant-vs-active,work in progress,"Слабые боевые статы и меткость 55, но для ополченцев Арулько — живой бог: любой встреченный ею новобранец учится быстрее. Leadership низкий на старте, компенсируется именным перком и статусом Locals. Дружит с Мигелем, Карлосом и Димитрием (местное сопротивление); не любит Злобного; не умеет плавать (флейвор, без игровой механики).",jazz:.tmp/ame_spec_commit/units_items.lua:119098
890000000002001,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:71721 | jazz:.tmp/wip-stash/items.lua:71826
890000000002002,dormant-vs-active,[WIP] Димитрий Газзо,Димитрий Газзо,jazz:.tmp/ame_spec_commit/units_items.lua:119438
890000000002005,dormant-vs-active,work in progress,"Статы под 70, ловкость 50, механика 71. Забывчивый — может остановиться посреди хода и переспросить, куда шёл. Дружит с Мигелем и Карлосом; недолюбливает Ротмана за высокомерие. Крафтит и точит собственные метательные ножи — бонус к ведущему навыку броска.",jazz:.tmp/ame_spec_commit/units_items.lua:119441
890000000002102,dormant-vs-active,[WIP] Кевин «Бешеный» Камерон,Кевин «Бешеный» Камерон,jazz:.tmp/ame_spec_commit/units_items.lua:119780
890000000002105,dormant-vs-active,work in progress,"Алмаз среди местных: физикалы за 90, механика 68, псих без страха. Клеится к Лиске при каждом удобном случае. После кампании в Арулько готов уйти в MERC — дёшево, лишь бы была движуха и техника под рукой.",jazz:.tmp/ame_spec_commit/units_items.lua:119783
890000000002201,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:71776 | jazz:.tmp/wip-stash/items.lua:71881
890000000002202,dormant-vs-active,[WIP] Лейтенант Конрад Джиллет,Лейтенант Конрад Джиллет,jazz:.tmp/ame_spec_commit/units_items.lua:120101
890000000002205,dormant-vs-active,work in progress,"Сильнейший из доступных местных наёмников: статы 75–80, Leadership 51 и полноценный инструктор, Marksmanship 95. Дружит с Игги и Стефаном; терпеть не может пьяного Ларри; не умеет плавать (флейвор). Дорог — берёт заметно выше рынка и торгуется жёстко.",jazz:.tmp/ame_spec_commit/units_items.lua:120104
890000000002301,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:71790 | jazz:.tmp/wip-stash/items.lua:71895
890000000002302,dormant-vs-active,[WIP] Майк,Майк,jazz:.tmp/ame_spec_commit/units_items.lua:120472
890000000002305,dormant-vs-active,work in progress,"Классика JA1. В Night Ops — перевербовка вражеского солдата в бою в AIM-специалиста; в модах для JA2 (1.13) — прямой найм через AIM. Одиночка по натуре, но именно поэтому надёжен один на один. Дружит со Стероидом; JA2-байки про вражду с Гасом и Иваном остаются флейвором, пока эти отношения не подтверждены отдельным дизайном.",jazz:.tmp/ame_spec_commit/units_items.lua:120475
890000000002401,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:71804 | jazz:.tmp/wip-stash/items.lua:71909
890000000002402,dormant-vs-active,[WIP] Майор Сергей «Гром» Громов,Майор Сергей «Гром» Громов,jazz:.tmp/ame_spec_commit/units_items.lua:120793
890000000002405,dormant-vs-active,work in progress,"Сослуживец Ивана по Afghan war. Shady Job переводит его в Night Ops. Найм: захват аэропорта и подавление местной ПВО — после этого он сам ждёт вербовщиков на лётном поле. Приходит с собственным гранатомётом. Дружит с Иваном, Игорем и Игги; недолюбливает Скоупа за манеру критиковать чужую наводку.",jazz:.tmp/ame_spec_commit/units_items.lua:120796
890000000002602,dormant-vs-active,[WIP] Доктор Дэниел «Дэнни» Квинтен,Доктор Дэниел «Дэнни» Квинтен,jazz:.tmp/ame_spec_commit/units_items.lua:122049
890000000002605,dormant-vs-active,work in progress,"99 Health, 99 Agility, около 80 Strength/Dexterity, Wisdom 91, Medical 88, Marksmanship 61. Одиночка, стреляет и лечит одинаково хорошо обеими руками. Не любит Стероида, Мясо и Биффа — считает их всех безответственными в поле.",jazz:.tmp/ame_spec_commit/units_items.lua:122052
890000000002702,dormant-vs-active,[WIP] Жан-Пьер «Злобный» Вио,Жан-Пьер «Злобный» Вио,jazz:.tmp/ame_spec_commit/units_items.lua:122383
890000000002705,dormant-vs-active,work in progress,"Статы 80–90, Wisdom 55, Marksmanship 82. Агрессивный французский боец ближнего боя, клеится к Лиске, Пауку и — по слухам из JA2 — к некой Лаве. Терпеть не может британцев.",jazz:.tmp/ame_spec_commit/units_items.lua:122386
890000000002802,dormant-vs-active,[WIP] Бифф Апскотт,Бифф Апскотт,jazz:.tmp/ame_spec_commit/units_items.lua:122737
890000000002805,dormant-vs-active,work in progress,"Статы около 70, Strength 41, Wisdom 58, Marksmanship 57, Leadership 13. Кабинетный менеджер MERC, панически боится настоящего боя, но неплохо ведёт бумажную работу отряда. Дружит с Фло и трезвым Ларри; не выносит обдолбанного Ларри. В JA2 Бифф появлялся только после отдельного побочного квеста — в JAZZ этот сюжет не реализован, поэтому найм идёт как обычный контракт MERC, а история квеста осталась только в биографии.",jazz:.tmp/ame_spec_commit/units_items.lua:122740
890000000002902,dormant-vs-active,[WIP] Фрэнки «Нервный» Гордон,Фрэнки «Нервный» Гордон,jazz:.tmp/ame_spec_commit/units_items.lua:123088
890000000002905,dormant-vs-active,work in progress,"Статы 60–70, Wisdom 58, Marksmanship 48, Explosives 31. Псих на постоянном взводе, стреляет длинными очередями и не умеет по-другому. Дружит с Бритвой и Рикошетом (родственные безумцы); терпеть не может Биффа за трусость.",jazz:.tmp/ame_spec_commit/units_items.lua:123091
890000000003001,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:72476 | jazz:.tmp/wip-stash/items.lua:72581
890000000003002,dormant-vs-active,[WIP] Флоренс «Фло» Габриель,Флоренс «Фло» Габриель,jazz:.tmp/ame_spec_commit/units_items.lua:123423
890000000003005,dormant-vs-active,work in progress,"Статы 40–50, Dexterity 60, Marksmanship 38 (худшая в отряде), Wisdom 82. Трусливая, но отличная торговка — знает, где выбить скидку и где продать хлам подороже. Дружит с Биффом и Рысью; до смерти боится некой Лавы (JA2-флейвор, не реализовано как игровая механика).",jazz:.tmp/ame_spec_commit/units_items.lua:123426
890000000003101,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:72490 | jazz:.tmp/wip-stash/items.lua:72595
890000000003102,dormant-vs-active,[WIP] Джим «Пума» Уоллесс,Джим «Пума» Уоллесс,jazz:.tmp/ame_spec_commit/units_items.lua:123771
890000000003105,dormant-vs-active,work in progress,"Статы 80–88, Marksmanship 93, Mechanical 58, Explosives 45, Medical 33. Мастер бесшумного автоогня — умеет подойти вплотную и снять цель раньше, чем она поймёт, что рядом кто-то есть. Дружит с Вульфом и Леном.",jazz:.tmp/ame_spec_commit/units_items.lua:123774
890000000003201,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:72504 | jazz:.tmp/wip-stash/items.lua:72609
890000000003202,dormant-vs-active,[WIP] Мигель Кордона,Мигель Кордона,jazz:.tmp/ame_spec_commit/units_items.lua:124120
890000000003205,dormant-vs-active,work in progress,"Статы 70–80, Leadership 98 — лучший лидер повстанцев Арулько, прошедший ночные операции и рукопашный бой. Дружит с Карлосом, Айрой и Тенью; не сходится характером с неким Игги (упоминание из JA2, персонаж пока не заведён в моде); недолюбливает немцев за колониальное наследие.",jazz:.tmp/ame_spec_commit/units_items.lua:124123
890000000003301,dormant-vs-active,WIP — механика сигнатурного перка в разработке.,Эта именная способность пока не действует.,jazz:.tmp/ame_spec_commit/jazz_items.lua:72518 | jazz:.tmp/wip-stash/items.lua:72623
890000000003302,dormant-vs-active,[WIP] Гамос,Гамос,jazz:.tmp/ame_spec_commit/units_items.lua:124462
890000000003305,dormant-vs-active,work in progress,"Статы 60–70, Wisdom 35, Marksmanship 78. Простой и дружелюбный местный проводник, исходивший джунгли Арулько вдоль и поперёк. Нейтрален к остальному отряду, дёшев в найме.",jazz:.tmp/ame_spec_commit/units_items.lua:124465
890000000003402,dormant-vs-active,[WIP] Грег «Динамо» Дункан,Грег «Динамо» Дункан,jazz:.tmp/ame_spec_commit/units_items.lua:124774
890000000003405,dormant-vs-active,work in progress,"Статы 55–65, Marksmanship 68, Mechanical 67, Wisdom 78. Бывший заключённый с извращённым чувством юмора насчёт ранений — знает, куда бить, чтобы противник ослеп или запаниковал. Дружит с Шенком и Кровью; не любит Мясо. Дёшев, готов работать почти за идею.",jazz:.tmp/ame_spec_commit/units_items.lua:124777
890000000003502,dormant-vs-active,[WIP] Гастон Кавалье,Гастон Кавалье,jazz:.tmp/ame_spec_commit/units_items.lua:125079
890000000003505,dormant-vs-active,work in progress,"Urban Brawl. Статы 80–90, Marksmanship 94, прочие навыки 20+. Не умеет плавать (флейвор). Работает с крыш и в темноте, флиртует с Тоской, Бансом и Лиской. Не выносит Злобного за конкуренцию по части дам и Биффа за трусость.",jazz:.tmp/ame_spec_commit/units_items.lua:125082
890000000003602,dormant-vs-active,[WIP] Лейтенант Хорг «Сигара»,Лейтенант Хорг «Сигара»,jazz:.tmp/ame_spec_commit/units_items.lua:125438
