id,display_name,family_id,family_name_ru,object_class,catalog_status,balance_tier,balance_subtier,tier_label,tier_status,tier_source,code_tier_label,engine_tier,caliber,damage,obj_damage_mod,penetration_class,penetration_bonus,crit_chance_scaled,magazine_size,shoot_ap,reload_ap,max_aim_actions,aim_accuracy,burst_shots,auto_shots,recoil,weapon_range,bullet_drop_range,grouping,handling,overwatch_angle,noise,reliability,base_jam_chance,weapon_resource,weapon_resource_max,degrade_per_shot,hand_slot,holster_slot,large_item,cumbersome,cost,scrap_parts,repair_cost,available_attacks,component_slot_count,component_option_count,defaulted_fields,source_file,snapshot_commit
USP45,USP45 Tactical,pistol,Пистолеты,Pistol,active,2,4,2-4,assigned,google_sheet:Пист,2-4,2,JAZZ_Caliber_45ACP,29,25,1,0,45,12,3000,4000,3,8,3,3,1,15,5,88,20,5400,28,90,-20,2000,-1,1,OneHanded,Leg,0,0,2500,6,4,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,9,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/USP45.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Glock17,Glock 17,pistol,Пистолеты,Pistol,active,2,5,2-5,assigned,google_sheet:Пист,2-5,2,JAZZ_Caliber_9x19,21,15,1,0,10,17,2000,3000,2,3,1,1,9,19,8,75,22,5400,22,95,-20,2400,-1,1,OneHanded,Leg,0,0,7000,6,12,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,12,CritChanceScaled;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Glock17.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
GrizzlyLAR,Grizzly LAR,pistol,Пистолеты,Pistol,active,2,5,2-5,assigned,google_sheet:Пист,2-5,2,JAZZ_Caliber_50AE,38,50,1,0,45,6,4000,4000,3,10,3,3,1,21,7,78,-4,4920,36,35,0,800,-1,1,OneHanded,Leg,0,0,10000,10,15,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,0,0,BaseJamChance;BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/GrizzlyLAR.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
P220,P-220,pistol,Пистолеты,Pistol,active,3,1,3-1,assigned,google_sheet:Пист,,,JAZZ_Caliber_45ACP,30,25,1,0,40,8,3000,3000,2,14,3,3,1,17,6,82,16,5400,28,80,-20,1800,-1,1,OneHanded,Leg,0,0,2200,6,7,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,5,11,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/P220.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
P226,P-226,pistol,Пистолеты,Pistol,active,3,4,3-4,assigned,google_sheet:Пист,3-3,2,JAZZ_Caliber_9x19,25,25,1,0,25,15,2000,3000,2,10,3,3,1,21,7,70,12,5400,20,85,-100,3200,-1,1,OneHanded,Leg,0,0,3000,6,9,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,7,18,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;Noise;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/P226.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
FiveSeven,FiveSeven,pistol,Пистолеты,Pistol,active,3,5,3-5,assigned,google_sheet:Пист,3-5,2,JAZZ_Caliber_57,20,25,1,0,45,20,2000,3000,3,14,3,3,1,23,10,45,8,5400,25,75,-20,1800,-1,1,OneHanded,Leg,0,0,20000,6,16,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,3,7,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/FiveSeven.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Scorpion,Scorpion,autopistol,Автоматические пистолеты,Autopistol,active,1,3,1-3,assigned,google_sheet:АвтоП,1-3,,JAZZ_Caliber_9x18,15,15,1,0,5,20,3000,4000,2,7,4,8,4,19,6,50,15,4680,22,40,0,2000,-1,1,OneHanded,Leg,0,0,1000,3,3,BurstFire;AutoFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,3,4,BaseJamChance;Cost;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;Reliability;WeaponResourceMax,InventoryItem/Scorpion.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
MicroUZI,Мини Узи,autopistol,Автоматические пистолеты,Autopistol,active,2,1,2-1,assigned,google_sheet:АвтоП,2-1,,JAZZ_Caliber_9x19,20,20,1,0,10,20,4000,5000,2,8,6,12,7,19,6,55,10,4920,28,50,-10,2500,-1,1,OneHanded,Leg,0,0,2200,6,5,BurstFire;AutoFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,6,15,CritChanceScaled;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/MicroUZI.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
MAC10,MAC-10,autopistol,Автоматические пистолеты,Autopistol,active,2,1,2-1,assigned,google_sheet:АвтоП,2-1,,JAZZ_Caliber_45ACP,27,25,1,0,30,30,4000,5000,2,7,5,10,9,16,4,70,9,4680,30,70,-20,2700,-1,1,OneHanded,Leg,0,0,3000,6,4,BurstFire;AutoFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,3,5,AutoShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/MAC10.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Beretta93r,Beretta 93r,autopistol,Автоматические пистолеты,Autopistol,active,2,3,2-3,assigned,google_sheet:АвтоП,2-3,,JAZZ_Caliber_9x19,22,20,1,0,35,16,3000,4000,2,8,3,9,1,18,6,65,14,5400,19,60,-20,1000,-1,1,OneHanded,Leg,0,0,1250,6,15,BurstFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,3,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/Beretta93r.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
APS,Пистолет Стечкина,autopistol,Автоматические пистолеты,Autopistol,active,2,4,2-4,assigned,google_sheet:АвтоП,2-4,2,JAZZ_Caliber_9x18,20,20,1,0,10,18,3000,4000,3,12,6,6,5,17,6,72,8,5400,19,55,-20,2500,-1,1,OneHanded,Leg,0,0,6000,6,10,BurstFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,4,6,CritChanceScaled;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/APS.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Glock18,Glock 18,autopistol,Автоматические пистолеты,Autopistol,active,2,5,2-5,assigned,google_sheet:АвтоП,2-5,2,JAZZ_Caliber_9x19,19,15,1,0,10,17,2000,3000,2,2,4,12,9,18,5,55,22,5400,22,90,0,1500,-1,1,OneHanded,Leg,0,0,15000,6,15,BurstFire;SingleShot;DualShot;JAZZ_SmgStorm;JAZZ_RunAndSMGStorm,6,13,AimAccuracy;BaseJamChance;CritChanceScaled;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/Glock18.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
SWModel10,S&W Model10 .38 Special,revolver,Револьверы,Revolver,active,1,1,1-1,assigned,google_sheet:Рев,1-1,,JAZZ_Caliber_38,16,40,1,0,30,6,3000,5000,3,16,3,3,1,16,5,50,-12,5100,15,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,1,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,7,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/SWModel10.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Colt38Special,Colt .38 Special,revolver,Револьверы,Revolver,active,1,2,1-2,assigned,google_sheet:Рев,1-2,,JAZZ_Caliber_38,16,40,1,0,30,6,3000,5000,3,10,3,3,1,15,5,59,-4,5100,12,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,1,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,2,3,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/Colt38Special.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
ColtM1917,Colt M1917 .45 Service Revolver,revolver,Револьверы,Revolver,active,1,2,1-2,assigned,google_sheet:Рев,1-2,,JAZZ_Caliber_45ACP,26,40,1,0,30,6,4000,5000,3,8,3,3,1,15,5,78,-3,5100,28,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,1,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,1,1,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/ColtM1917.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
ColtPeacemaker,Peacemaker,revolver,Револьверы,Revolver,active,1,2,1-2,assigned,google_sheet:Рев,1-2,,JAZZ_Caliber_357,34,40,1,0,30,6,4000,5000,3,12,3,3,1,17,6,28,-5,5100,32,95,-100,3000,-1,1,OneHanded,Leg,0,0,500,6,4,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,2,3,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResourceMax,InventoryItem/ColtPeacemaker.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
SWModel19,S*W Model19 .357 Combat Magnum,revolver,Револьверы,Revolver,active,1,3,1-3,assigned,google_sheet:Рев,1-3,,JAZZ_Caliber_357,28,40,1,0,30,6,4000,5000,3,16,3,3,1,17,6,36,0,5100,28,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,2,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,8,BurstShots;Cumbersome;DegradePerShot;HandSlot;Handling;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/SWModel19.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Welrod,Welrod,revolver,Револьверы,Revolver,active,1,UNIQ,1-UNIQ,unique,google_sheet:Пист,,,JAZZ_Caliber_9x19,23,40,1,0,60,6,4000,4000,4,8,3,3,1,15,4,82,-8,5100,1,35,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,5,SingleShot;DualShot;MobileShot;JAZZ_Mozambique;JAZZ_DoubleTap,2,2,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/Welrod.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Webley,Webley Mk VI,revolver,Револьверы,Revolver,active,2,1,2-1,assigned,google_sheet:Рев,2-1,,JAZZ_Caliber_45ACP,27,40,1,0,30,6,4000,4000,3,9,3,3,1,16,4,88,6,5100,28,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,3,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,2,3,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/Webley.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
MR73,Manurhin MR 73,revolver,Револьверы,Revolver,active,2,3,2-3,assigned,google_sheet:Рев,2-3,,JAZZ_Caliber_357,29,40,1,0,30,6,5000,5000,3,18,3,3,1,19,7,45,7,5100,32,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,6,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/MR73.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
SWModel29,SWModel29,revolver,Револьверы,Revolver,active,2,4,2-4,assigned,google_sheet:Рев,2-4,,JAZZ_Caliber_44CAL,42,40,1,0,30,6,4000,5000,3,10,3,3,1,19,7,68,5,5100,32,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,4,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,7,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/SWModel29.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
ColtAnaconda,Anaconda,revolver,Револьверы,Revolver,active,2,5,2-5,assigned,google_sheet:Рев,2-5,,JAZZ_Caliber_44CAL,35,40,1,0,40,6,4000,5000,3,12,3,3,1,20,8,70,0,5100,32,95,-100,3500,-1,1,OneHanded,Leg,0,0,1200,8,5,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,12,BurstShots;Cumbersome;DegradePerShot;HandSlot;Handling;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponRange;WeaponResourceMax,InventoryItem/ColtAnaconda.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
RSH12,РШ-12,revolver,Револьверы,Revolver,active,2,UNIQ,2-UNIQ,unique,google_sheet:Рев,3-UNIQ,2,JAZZ_Caliber_50BMG,36,70,1,0,40,6,4000,5000,3,10,3,3,1,20,10,88,-5,5400,40,95,-50,3500,-1,1,OneHanded,Leg,0,0,3100,8,30,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,2,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponRange;WeaponResourceMax,InventoryItem/RSH12.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
Korth,Korth Revolver,revolver,Револьверы,Revolver,active,3,1,3-1,assigned,google_sheet:Рев,3-1,,JAZZ_Caliber_357,30,40,1,0,30,6,3000,5000,4,19,3,3,1,24,7,55,12,5100,32,95,-100,1000,-1,1,OneHanded,Leg,0,0,500,6,25,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,3,5,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;PenetrationBonus;PenetrationClass;WeaponResource;WeaponResourceMax,InventoryItem/Korth.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
TexRevolver,Custom Six-Shooter,revolver,Револьверы,Revolver,active,3,UNIQ,3-UNIQ,unique,google_sheet:Рев,,,JAZZ_Caliber_44CAL,36,40,1,0,60,6,4000,5000,3,8,3,3,1,20,7,70,12,5400,40,95,-100,50000,-1,1,OneHanded,Leg,0,0,2000,8,15,SingleShot;DualShot;JAZZ_Fanning;JAZZ_Bullseye,1,1,BurstShots;Cumbersome;DegradePerShot;HandSlot;LargeItem;MaxAimActions;PenetrationBonus;PenetrationClass;WeaponRange;WeaponResourceMax,InventoryItem/vanillunique/TexRevolver.lua,09673e3a8dd397d662833fb530a3566f6596c4c0
